order_id,order_date,product_id,product_name,brand,category,selling_price,discount_pct,gmv,size,units_sold
ORD100001,12-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,376,55,376,S,1
ORD100002,04-06-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,421,67,421,L,3
ORD100003,14-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,711,0,711,S,3
ORD100004,18-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,339,55,339,M,3
ORD100005,18-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,729,0,729,L,3
ORD100006,19-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,722,68,722,S,3
ORD100007,05-06-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,423,60,423,L,3
ORD100008,20-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,621,69,621,XL,1
ORD100009,15-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,613,69,613,S,1
ORD100010,31-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,636,69,636,S,2
ORD100011,29-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,258,60,258,XL,2
ORD100012,29-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,344,55,344,M,2
ORD100013,30-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,626,69,626,S,2
ORD100014,05-06-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,508,81,508,S,1
ORD100015,08-06-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,488,81,488,S,3
ORD100016,17-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,650,69,650,S,3
ORD100017,03-06-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,405,66,405,M,2
ORD100018,01-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,520,69,520,L,2
ORD100019,26-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,446,67,446,XXL,1
